region_league_id,region,league_name,url
PORTUGAL_LIGA_PORTUGAL___ROUND_17,PORTUGAL,LIGA PORTUGAL - ROUND 17,https://www.flashscore.com/football/
SPAIN_LALIGA2___ROUND_20,SPAIN,LALIGA2 - ROUND 20,https://www.flashscore.com/football/
FRANCE_LIGUE_1___ROUND_17,FRANCE,LIGUE 1 - ROUND 17,https://www.flashscore.com/football/
ITALY_SERIE_A___ROUND_18,ITALY,SERIE A - ROUND 18,https://www.flashscore.com/football/
NORTHERN_IRELAND_NIFL_PREMIERSHIP___ROUND_24,NORTHERN IRELAND,NIFL PREMIERSHIP - ROUND 24,https://www.flashscore.com/football/
SPAIN_LALIGA___ROUND_18,SPAIN,LALIGA - ROUND 18,https://www.flashscore.com/football/
INDONESIA_SUPER_LEAGUE___ROUND_16,INDONESIA,SUPER LEAGUE - ROUND 16,https://www.flashscore.com/football/
AUSTRALIA_A_LEAGUE_WOMEN___ROUND_11,AUSTRALIA,A-LEAGUE WOMEN - ROUND 11,https://www.flashscore.com/football/
ETHIOPIA_PREMIER_LEAGUE___ROUND_13,ETHIOPIA,PREMIER LEAGUE - ROUND 13,https://www.flashscore.com/football/
ITALY_PRIMAVERA_1___ROUND_18,ITALY,PRIMAVERA 1 - ROUND 18,https://www.flashscore.com/football/
ASIA_GUANGDONG___HONG_KONG_CUP___FINAL,ASIA,GUANGDONG - HONG KONG CUP - FINAL,https://www.flashscore.com/football/
CAMBODIA_CPL___ROUND_15,CAMBODIA,CPL - ROUND 15,https://www.flashscore.com/football/
PORTUGAL_LIGA_PORTUGAL_2___ROUND_17,PORTUGAL,LIGA PORTUGAL 2 - ROUND 17,https://www.flashscore.com/football/
SPAIN_PRIMERA_RFEF___GROUP_1___ROUND_18,SPAIN,PRIMERA RFEF - GROUP 1 - ROUND 18,https://www.flashscore.com/football/
ENGLAND_PREMIER_LEAGUE___ROUND_20,ENGLAND,PREMIER LEAGUE - ROUND 20,https://www.flashscore.com/football/
CYPRUS_DIVISION_2___ROUND_14,CYPRUS,DIVISION 2 - ROUND 14,https://www.flashscore.com/football/
TRINIDAD_AND_TOBAGO_TT_PREMIER_LEAGUE___ROUND_11,TRINIDAD AND TOBAGO,TT PREMIER LEAGUE - ROUND 11,https://www.flashscore.com/football/
SPAIN_PRIMERA_RFEF___GROUP_2___ROUND_18,SPAIN,PRIMERA RFEF - GROUP 2 - ROUND 18,https://www.flashscore.com/football/
ITALY_SERIE_C___GROUP_A___ROUND_20,ITALY,SERIE C - GROUP A - ROUND 20,https://www.flashscore.com/football/
ITALY_SERIE_C___GROUP_B___ROUND_20,ITALY,SERIE C - GROUP B - ROUND 20,https://www.flashscore.com/football/
NORTHERN_IRELAND_NIFL_CHAMPIONSHIP___ROUND_24,NORTHERN IRELAND,NIFL CHAMPIONSHIP - ROUND 24,https://www.flashscore.com/football/
CHAD_PREMIERE_DIVISION___LPFN___ROUND_10,CHAD,PREMIERE DIVISION - LPFN - ROUND 10,https://www.flashscore.com/football/
WALES_CYMRU_PREMIER___ROUND_17,WALES,CYMRU PREMIER - ROUND 17,https://www.flashscore.com/football/
BENIN_LIGUE_1___ROUND_15,BENIN,LIGUE 1 - ROUND 15,https://www.flashscore.com/football/
SCOTLAND_PREMIERSHIP___ROUND_21,SCOTLAND,PREMIERSHIP - ROUND 21,https://www.flashscore.com/football/
PORTUGAL_LIGA_3___ROUND_15,PORTUGAL,LIGA 3 - ROUND 15,https://www.flashscore.com/football/
SCOTLAND_CHAMPIONSHIP___ROUND_21,SCOTLAND,CHAMPIONSHIP - ROUND 21,
GREECE_SUPER_CUP___FINAL,GREECE,SUPER CUP - FINAL,https://www.flashscore.com/football/
SCOTLAND_LEAGUE_ONE___ROUND_20,SCOTLAND,LEAGUE ONE - ROUND 20,https://www.flashscore.com/football/
SCOTLAND_LEAGUE_TWO___ROUND_19,SCOTLAND,LEAGUE TWO - ROUND 19,https://www.flashscore.com/football/
TOGO_CHAMPIONNAT_NATIONAL___ROUND_9,TOGO,CHAMPIONNAT NATIONAL - ROUND 9,https://www.flashscore.com/football/
ISRAEL_LIGAT_HA'AL___ROUND_17,ISRAEL,LIGAT HA'AL - ROUND 17,https://www.flashscore.com/football/
MALTA_FA_TROPHY___1/16_FINALS,MALTA,FA TROPHY - 1/16-FINALS,https://www.flashscore.com/football/
GAMBIA_GFA_LEAGUE___ROUND_4,GAMBIA,GFA LEAGUE - ROUND 4,https://www.flashscore.com/football/
GUINEA_LIGUE_1___ROUND_13,GUINEA,LIGUE 1 - ROUND 13,https://www.flashscore.com/football/
MALI_PREMIERE_DIVISION___ROUND_7,MALI,PREMIERE DIVISION - ROUND 7,https://www.flashscore.com/football/
AFRICA_AFRICA_CUP_OF_NATIONS___PLAY_OFFS___1/8_FINALS,AFRICA,AFRICA CUP OF NATIONS - PLAY OFFS - 1/8-FINALS,https://www.flashscore.com/football/
ITALY_SERIE_C___GROUP_C___ROUND_20,ITALY,SERIE C - GROUP C - ROUND 20,https://www.flashscore.com/football/
WORLD_KINGS_WORLD_CUP_NATIONS,WORLD,KINGS WORLD CUP NATIONS,https://www.flashscore.com/football/
FRANCE_LIGUE_2___ROUND_18,FRANCE,LIGUE 2 - ROUND 18,https://www.flashscore.com/football/
ANTIGUA_&_BARBUDA_ABFA_PREMIER_LEAGUE___ROUND_10,ANTIGUA & BARBUDA,ABFA PREMIER LEAGUE - ROUND 10,https://www.flashscore.com/football/
SURINAME_SML___ROUND_10,SURINAME,SML - ROUND 10,https://www.flashscore.com/football/
KENYA_PREMIER_LEAGUE___ROUND_9,KENYA,PREMIER LEAGUE - ROUND 9,https://www.flashscore.com/football/
THAILAND_THAI_LEAGUE_1___ROUND_18,THAILAND,THAI LEAGUE 1 - ROUND 18,https://www.flashscore.com/football/
ENGLAND_CHAMPIONSHIP___ROUND_26,ENGLAND,CHAMPIONSHIP - ROUND 26,https://www.flashscore.com/football/
ENGLAND_LEAGUE_ONE___ROUND_25,ENGLAND,LEAGUE ONE - ROUND 25,https://www.flashscore.com/football/
ENGLAND_LEAGUE_TWO___ROUND_25,ENGLAND,LEAGUE TWO - ROUND 25,https://www.flashscore.com/football/
KENYA_PREMIER_LEAGUE___ROUND_12,KENYA,PREMIER LEAGUE - ROUND 12,https://www.flashscore.com/football/
IRAQ_STARS_LEAGUE___ROUND_10,IRAQ,STARS LEAGUE - ROUND 10,https://www.flashscore.com/football/
UGANDA_BIG_LEAGUE,UGANDA,BIG LEAGUE,https://www.flashscore.com/football/
WALES_PREMIER_WOMEN___ROUND_12,WALES,PREMIER WOMEN - ROUND 12,https://www.flashscore.com/football/
KUWAIT_CROWN_PRINCE_CUP___1/8_FINALS,KUWAIT,CROWN PRINCE CUP - 1/8-FINALS,https://www.flashscore.com/football/
EGYPT_LEAGUE_CUP___ROUND_5,EGYPT,LEAGUE CUP - ROUND 5,https://www.flashscore.com/football/
MEXICO_LIGA_MX_WOMEN___CLAUSURA___ROUND_1,MEXICO,LIGA MX WOMEN - CLAUSURA - ROUND 1,https://www.flashscore.com/football/
JAMAICA_PREMIER_LEAGUE___ROUND_15,JAMAICA,PREMIER LEAGUE - ROUND 15,https://www.flashscore.com/football/
HONDURAS_LIGA_NACIONAL___APERTURA___PLAY_OFFS___FINAL,HONDURAS,LIGA NACIONAL - APERTURA - PLAY OFFS - FINAL,https://www.flashscore.com/football/
AUSTRALIA_A_LEAGUE___ROUND_17,AUSTRALIA,A-LEAGUE - ROUND 17,https://www.flashscore.com/football/
MYANMAR_NATIONAL_LEAGUE___ROUND_11,MYANMAR,NATIONAL LEAGUE - ROUND 11,https://www.flashscore.com/football/
SAUDI_ARABIA_DIVISION_1___ROUND_15,SAUDI ARABIA,DIVISION 1 - ROUND 15,https://www.flashscore.com/football/
LIBYA_PREMIER_LEAGUE___ROUND_4,LIBYA,PREMIER LEAGUE - ROUND 4,https://www.flashscore.com/football/
