team_id,team_name,rl_ids,team_crest,team_url
OW9O6d1j,Inter Lions,AUSTRALIA_NSW_LEAGUE_ONE___ROUND_1,https://static.flashscore.com/res/image/data/xEz6WxeM-bNep5M6n.png,https://www.flashscore.com/team/inter-lions/OW9O6d1j/
0bNJ74JO,Northern Tigers,AUSTRALIA_NSW_LEAGUE_ONE___ROUND_1,https://static.flashscore.com/res/image/data/WvKTQjhl-GGN0FKn1.png,https://www.flashscore.com/team/northern-tigers/GnAYrbjA/
GnAYrbjA,Canterbury Bankstown,AUSTRALIA_NSW_LEAGUE_ONE___ROUND_1,https://static.flashscore.com/res/image/data/84kITLXg-A9s1svuS.png,https://www.flashscore.com/team/canterbury-bankstown-fc/0bNJ74JO/
OfzUZGy6,Kolos Kovalivka (Ukr),WORLD_CLUB_FRIENDLY,https://static.flashscore.com/res/image/data/CxxhPqxS-reHWnXse.png,https://www.flashscore.com/team/kolos-kovalivka/OfzUZGy6/
2m6zvQp5,LNZ Cherkasy (Ukr),WORLD_CLUB_FRIENDLY,https://static.flashscore.com/res/image/data/OS92xOwS-h2MXGMKq.png,https://www.flashscore.com/team/lnz-cherkasy/2m6zvQp5/
rmpC8wo6,Neftekhimik (Rus),WORLD_CLUB_FRIENDLY,https://static.flashscore.com/res/image/data/fZQfQZ9r-QkurBi2t.png,https://www.flashscore.com/team/neftekhimik/tpeZ7HFI/
tpeZ7HFI,Dynamo Petersburg (Rus),WORLD_CLUB_FRIENDLY;WORLD: - Club Friendly,,https://www.flashscore.com/team/neftekhimik/tpeZ7HFI/
bH2GTTSR,Opava (Cze),WORLD_CLUB_FRIENDLY,https://static.flashscore.com/res/image/data/ptvbnJyS-GhXTKbk2.png,https://www.flashscore.com/team/opava/0EDHzr4L/
0EDHzr4L,Kudrivka (Ukr),WORLD_CLUB_FRIENDLY;WORLD: - Club Friendly,,https://www.flashscore.com/team/opava/0EDHzr4L/
8Q1StIAl,Dulwich Hill,AUSTRALIA_NSW_LEAGUE_ONE___ROUND_1,https://static.flashscore.com/res/image/data/dYeydEe5-nDwvs1mk.png,https://www.flashscore.com/team/dulwich-hill/8Q1StIAl/
bVkuzCZ4,Hakoah Sydney,AUSTRALIA_NSW_LEAGUE_ONE___ROUND_1,https://static.flashscore.com/res/image/data/SCDCAUFG-IiKgau8S.png,https://www.flashscore.com/team/hakoah-sydney/bVkuzCZ4/
nyIyTwTm,Bangladesh U19 W,WORLD_FRIENDLY_INTERNATIONAL_WOMEN,https://static.flashscore.com/res/image/data/W83rjiYg-x6WD0lsO.png,https://www.flashscore.com/team/bangladesh/nyIyTwTm/
YaXU6dCG,India U17 W,WORLD_FRIENDLY_INTERNATIONAL_WOMEN,https://static.flashscore.com/res/image/data/UslLOQYg-4CC77yyQ.png,https://www.flashscore.com/team/india/YaXU6dCG/
